"Locale Fallback","Fallback language"
"Translations are differing, values from Locale Fallback will be used.","Translations are differing, values from Locale Fallback will be used."
"Translations are identical, you can safely switch off the Locale Fallback.","Translations are identical, you can safely switch off the Locale Fallback."
